company_name,industry,main_products
하이딥,반도체 제조업,UIUX Solution
에프앤가이드,기타 정보 서비스업,"금융정보서비스, INDEX, 펀드평가 등"
티엘비,전자부품 제조업,SSD Module / DRAM Module PCB
인바이오,"비료, 농약 및 살균, 살충제 제조업","살균제, 살충제, 제초제 등"
엔젠바이오,"그외 기타 전문, 과학 및 기술 서비스업","유전체 분야 진단시약 제조 및 유전체 분야 소프트웨어 연구,개발,판매"
퀀타매트릭스,의료용 기기 제조업,신속항균제검사 장비 및 키트
명신산업,자동차 신품 부품 제조업,자동차차체부품
셀레스트라,의료용품 및 기타 의약 관련제품 제조업,"Geno Series, CD-PRIME, Cancer Prime"
포인트모바일,컴퓨터 및 주변장치 제조업,산업용 PDA
앱코,컴퓨터 및 주변장치 제조업,"게이밍기어, 뉴라이프가전 등"
엔에프씨,기타 화학제품 제조업,화장품 원료 제조 및 판매
제일일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","PCB Assay, 배선기구, 분전반 등"
하나기술,특수 목적용 기계 제조업,이차전지 양산 자동화 설비 제조
에이플러스에셋,보험 및 연금관련 서비스업,보험대리 및 중개업
티앤엘,의료용품 및 기타 의약 관련제품 제조업,"창상치료재, 정형외과용 고정재"
고바이오랩,자연과학 및 공학 연구개발업,마이크로바이옴 치료제 및 건강기능식품
네패스아크,"그외 기타 전문, 과학 및 기술 서비스업",반도체 테스트 서비스
교촌에프앤비,음·식료품 및 담배 도매업,치킨 프랜차이즈
소룩스,전구 및 조명장치 제조업,"실내등(형광등, LED등), 실외등, 특수등"
위드텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","AMCs 모니터링 시스템, 공정 프로세스 모니터링 시스템, TMS"
센코,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","가스센서 및 모듈, 휴대용 및 고정형 가스검지기, 악취 & 미세먼지 모니터링 시스템"
바이브컴퍼니,소프트웨어 개발 및 공급업,"소셜 빅데이터 기반 인공지능 서비스 (소셜메트릭스), 문제 해결 솔루션 (AI Solver)"
원포유,소프트웨어 개발 및 공급업,"비대면서비스플랫폼, 인공지능"
롤링스톤,의료용 기기 제조업,체외진단용 의료기기
피플바이오,의료용품 및 기타 의약 관련제품 제조업,올리고머화 베타-아밀로이드 검사제품(알츠하이머병 진단)
하이브,오디오물 출판 및 원판 녹음업,"음악 기획/제작, 퍼블리싱, 아티스트 매니지먼트"
넥스틴,특수 목적용 기계 제조업,반도체 전공정용 패턴결함 검사장비(AEGIS 등)
케이엔솔,일반 목적용 기계 제조업,클린룸 설비
비나텍,일차전지 및 이차전지 제조업,초고용량 커패시터(슈퍼커패시터)
씨엔알리서치,"그외 기타 전문, 과학 및 기술 서비스업",금융 지원 서비스
박셀바이오,자연과학 및 공학 연구개발업,"항암면역세포치료제(자연살해세포, 수지상세포, CAR-T 및 인터루킨 기반 항암제)"
티와이홀딩스,기타 금융업,지주사업
비비씨,기타 화학제품 제조업,덴탈 케어용 소재(테이퍼모 등)
코스텍시스,반도체 제조업,RF PKG. Spacer
핌스,전자부품 제조업,OLED Metal Mask
압타머사이언스,자연과학 및 공학 연구개발업,압타머기반 신약개발 및 진단제품 개발
이오플로우,의료용 기기 제조업,웨어러블 인슐린펌프
카카오게임즈,소프트웨어 개발 및 공급업,"모바일, PC게임 퍼블리싱"
피엔케이피부임상연구센타,"그외 기타 전문, 과학 및 기술 서비스업",피부인체적용시험
코람코라이프인프라리츠,부동산 임대 및 공급업,부동산 투자 및 관리
아이디피,컴퓨터 및 주변장치 제조업,"카드인쇄용 프린터, 카드인쇄용 리본"
셀레믹스,기초 의약물질 제조업,타겟캡처키트
고스트스튜디오,소프트웨어 개발 및 공급업,"캐주얼게임, 소셜카지노게임"
젝시믹스,기타 정보 서비스업,"애슬레저의류, 생활/청결 용품"
영림원소프트랩,소프트웨어 개발 및 공급업,"ERP Package, 유지 관리 등"
한국파마,의약품 제조업,"완제의약품(정신신경계, 소화기계, 순환기계, 항생항균, 기타)"
제이알글로벌리츠,부동산 임대 및 공급업,벨기에 파이낸스 타워
솔브레인,기타 화학제품 제조업,반도체 및 디스플레이 관련 화학재료 제조ㆍ판매 등
미래에셋맵스리츠,부동산 임대 및 공급업,부동산 임대업
이지스레지던스리츠,부동산 임대 및 공급업,"부동산투자, 취득, 매매, 임대"
PS일렉트로닉스,전자부품 제조업,전력증폭기 모듈(PAM)
에코앤드림,일차전지 및 이차전지 제조업,배출가스 저감용 촉매 및 이차전지 양극활물질 전구체
엠엑스온,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","스마트HMI, 스마트SCADA, 스마트팩토리솔루션"
더네이쳐홀딩스,의복 액세서리 제조업,"의류, 여행용 가방 및 잡화류"
제놀루션,기초 의약물질 제조업,"핵산추출기기 및 시약, RNAi 사업 등"
솔트룩스,소프트웨어 개발 및 공급업,인공지능 및 빅데이터 소프트웨어
바이오인프라생명과학,자연과학 및 공학 연구개발업,I-FINDER(바이오마커 진단)
티에스아이,특수 목적용 기계 제조업,"2차전지 장비(믹싱시스템, 믹싱제작품, 믹싱 공사, 코터건조시스템)"
에이프로,기타 전기장비 제조업,"2차전지 장비 등(일반충방전기, 고온가압 충방전기 등)"
이지스밸류플러스리츠,부동산 임대 및 공급업,"부동산투자, 취득, 매매, 임대"
소마젠,"그외 기타 전문, 과학 및 기술 서비스업","유전체 분석 서비스 (NGS, CES 등)"
신도기연,특수 목적용 기계 제조업,"OLED용 후공정장비(라미네이터, 오토클레이브 등)"
위더스제약,의약품 제조업,의약품 제조 및 도소매(순환기용제 등)
에스케이바이오팜,자연과학 및 공학 연구개발업,신경질환 및 정신질환을 포함한 중추신경 관련 신약 개발
엠브레인,시장조사 및 여론조사업,온라인 및 오프라인 리서치
젠큐릭스,의료용품 및 기타 의약 관련제품 제조업,유방암 예후진단 및 폐암/대장암 동반진단 제품/검사서비스
무진메디,자연과학 및 공학 연구개발업,"NANO-MEDICINE 전문회사,LNP(지질나노입자)를 이용한 원료 소재 및 개량/신약 개발"
HB솔루션,특수 목적용 기계 제조업,"디스플레이 제조용 장비(도포기, 조립기, 검사기)"
넥사다이내믹스,특수 목적용 기계 제조업,기업인수목적회사
풍전약품,의약품 제조업,세포치료제
휴럼,기타 식품 제조업,금융지원 서비스
이지바이오,동물용 사료 및 조제식품 제조업,"자돈사료, 사료첨가제"
드림씨아이에스,자연과학 및 공학 연구개발업,시판후조사대행(rPMS)
대덕전자,전자부품 제조업,"PCB(Printed Circuit Board, 인쇄회로기판)의 제조 및 판매"
캐프,전자부품 제조업,스마트폰 OLED용 FPCA
플레이디,광고업,온라인 광고 대행
서울바이오시스,반도체 제조업,"Visible LED, UV LED"
제이앤티씨,전자부품 제조업,"강화유리, 커넥터"
켄코아에어로스페이스,"항공기,우주선 및 부품 제조업",항공가공품 및 조립품
레몬,화학섬유 제조업,"EMI Shield Can, 나노멤브레인 등"
서남,기타 전기장비 제조업,고온초전도선재
위세아이텍,소프트웨어 개발 및 공급업,"빅데이터분석, 인공지능, 데이터품질관리 솔루션"
케이씨씨글라스,유리 및 유리제품 제조업,판유리 등
세림B&G,플라스틱제품 제조업,기업인수
CJ 바이오사이언스,자연과학 및 공학 연구개발업,"생명정보 플랫폼, 마이크로바이옴 분석 서비스"
한국첨단소재,통신 및 방송 장비 제조업,"데이터센터용 AWG, 통신용 AWG, 스플리터, 계측기 등"
RF머트리얼즈,전자부품 제조업,"광통신, RF통신용 패키지"
아이비김영,일반 교습 학원,"오프라인 학원, 온라인강의"
파라택시스코리아,"그외 기타 전문, 과학 및 기술 서비스업","펠리노-1 단백질 저해제, 오토택신 저해제"
다보링크,통신 및 방송 장비 제조업,"AP, APController 외"
메드팩토,자연과학 및 공학 연구개발업,항암제 신약개발
원텍,의료용 기기 제조업,기업 인수 및 합병
신테카바이오,소프트웨어 개발 및 공급업,유전체 빅데이터 기반의 AI신약개발 및 정밀의료서비스
제이엘케이,소프트웨어 개발 및 공급업,"인공지능 기반 의료영상 진단 플랫폼, 인공지능 기반 산업용 X-ray 판독시스템"
태웅로직스,기타 운송관련 서비스업,"3자물류주선 (복합운송, 프로젝트운송, CIS운송 등)"
윙스풋,"섬유, 의복, 신발 및 가죽제품 소매업",신발 매입 및 공급
노드메이슨,기타 화학제품 제조업,헉슬리/Huxley 화장품(스킨케어 스페셜/스킨케어베이직)
리메드,의료용 기기 제조업,자기장 치료기기
NH프라임리츠,부동산 임대 및 공급업,부동산 투자
타스컴,의료용 기기 제조업,현장진단 혈액분석기
진코스텍,기타 화학제품 제조업,"마스크팩 ODM/OEM, 하이드로겔 마스크팩"
웨이버스,소프트웨어 개발 및 공급업,금융 지원 서비스
유엑스엔,의료용 기기 제조업,"혈당센서, 혈당측정기"
HLB바이오스텝,자연과학 및 공학 연구개발업,비임상실험 유효성(약리)평가
씨티알모빌리티,자동차 신품 부품 제조업,"이너레이스, 오디 클러치보스, 로터샤프트, 슬리브기어, 컨트롤 암, 엑슬"
티움바이오,자연과학 및 공학 연구개발업,"특발성폐섬유증 치료제, 면역항암제, 자궁내막증치료제, 혈우병치료제"
씨에스베어링,일반 목적용 기계 제조업,"풍력용 선회베어링, 산업용 선회베어링"
우양,"과실, 채소 가공 및 저장 처리업","HMR, 음료 베이스, 퓨레 등"
코리아에셋투자증권,금융 지원 서비스업,"IB금융자문, 채권인수 및 매매, 투자중개, 펀드운용 등"
HD현대에너지솔루션,반도체 제조업,"태양광 셀·모듈, PV시스템, ESS"
에스제이그룹,"가죽, 가방 및 유사제품 제조업","캉골 가방/모자, 헬렌카민스키 모자"
제테마,의료용품 및 기타 의약 관련제품 제조업,"히알루론산 필러(조직수복용생체재료), 피부과용 레이저 의료기기, 리프팅실 등"
한화시스템,전자부품 제조업,"정밀기기(육해공군관련전자제어시스템,열영상감시장비,탐지추적장치,전투지휘체계시스템) 제조"
라파스,기타 화학제품 제조업,"마이크로니들 패치 제품(의약품패치, 의료기기패치, 미용패치 등)"
아이티엠반도체,전자부품 제조업,배터리 보호회로
일승,선박 및 보트 건조업,환경장비
자이에스앤디,부동산 임대 및 공급업,"부동산 관리, 정보통신 공사, 아파트 AS 및 옵션 제품 공급, 건축물 시공 및 분양"
미디어젠,소프트웨어 개발 및 공급업,음성인식 소프트웨어 기술개발
LS티라유텍,소프트웨어 개발 및 공급업,스마트팩토리 솔루션
이노테나,소프트웨어 개발 및 공급업,"연계솔루션, 보안솔루션, APM솔루션"
롯데리츠,부동산 임대 및 공급업,부동산투자
지누스,가구 제조업,매트리스 및 가구제품
밸로프,소프트웨어 개발 및 공급업,기업인수합병
에피소드컴퍼니,"영화, 비디오물, 방송프로그램 제작 및 배급업","영상 콘텐츠(30.05%), 공연(29.76%), 키즈카페(17.38%), 커머스(12.77%), 라이선스 및 기타(10.04%)"
한국미라클피플사,기타 화학제품 제조업,"은나노스텝, 닥터오렌지 등"
케이엔제이,반도체 제조업,"Edge Grinder, CVD-SiC Ring"
엔바이오니아,그외 기타 제품 제조업,양전하필터(정수기)
팜스빌,기타 식품 제조업,다이어트 제품 및 건강기능 관련 제품
두산퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",연료전지
라온피플,소프트웨어 개발 및 공급업,"카메라 모듈 검사기, AI 머신비전, 골프센서"
솔루스첨단소재,전자부품 제조업,"동박, 유압기기 등"
콘텐트리중앙,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화 및 방송프로그램 제작, 유통, 광고"
아톤,소프트웨어 개발 및 공급업,"모바일금융솔루션, mOTP 개발"
녹십자웰빙,의약품 제조업,"전문의약품, 건강기능식품"
누보,"비료, 농약 및 살균, 살충제 제조업",기업 인수 및 합병
포커스에이아이,영상 및 음향기기 제조업,영상저장장치 및 카메라
엔지브이아이,자동차 신품 부품 제조업,천연가스자동차용 연료저장장치 등
올리패스,기초 의약물질 제조업,인공유전자 플랫폼(OliPass PNA) 기술을 활용한 RNA치료제 신약개발
라닉스,반도체 제조업,"자동차 및 IoT 통신, 보안솔루션"
한울반도체,특수 목적용 기계 제조업,비전검사장비
한독크린텍,일반 목적용 기계 제조업,정수기 필터
네오크레마,기타 식품 제조업,기능성 식품 원료
마니커에프앤지,"도축, 육류 가공 및 저장 처리업","육가공품, 튀김류, 패티류, 삼계탕 등"
솔트웨어,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",enView
나노실리칸첨단소재,기초 화학물질 제조업,"보안응용제품(M-tag 및 M-pac), 보안소재제품(M-secuprint)"
에스피시스템스,특수 목적용 기계 제조업,산업용 갠트리 로봇
레이,의료용 기기 제조업,"디지털 치료솔루션(CT scan 장비, 3D 프린터), 디지털 진단시스템(X-ray, CT 등)"
그린플러스,1차 비철금속 제조업,"첨단유리온실, 온실용자재설치공사, 알루미늄 압출/가공제품"
코윈테크,특수 목적용 기계 제조업,"공정자동화설비(2차전지,석유화학,반도체,디스플레이)"
덕산테코피아,기타 화학제품 제조업,"OLED 소재, 반도체 소재"
KBG,합성고무 및 플라스틱 물질 제조업,"실리콘 소재(실란 모노머, 실리콘 레진&폴리머, 실리콘 융합소재)"
엑스페릭스,전자부품 제조업,"지문인식 등록, 인증 기기 및 솔루션"
세경하이테크,전자부품 제조업,DECO Film 및 기타 TAPE 제조
캐리,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",태양광 인버터 등
대모,특수 목적용 기계 제조업,"유압브레이커, 특수장비/부품, 퀵커플러 등"
에이스토리,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송프로그램 제작
플리토,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",언어 데이터 구축 및 판매
헥토파이낸셜,금융 지원 서비스업,"가상계좌중계, 간편현금결제"
아이스크림에듀,"서적, 잡지 및 기타 인쇄물 출판업",아이스크림홈런
펨토바이오메드,의료용 기기 제조업,CellShot 플랫폼 / CellShot 기반 항암백신치료 제품군 / CellShot 기반 자가면역질환치료 제품군 / CellShot 기반 바이오의약품 생산세포주 제품군
펌텍코리아,플라스틱제품 제조업,화장품 용기
에이에프더블류,1차 비철금속 제조업,음극마찰용접단자
태성,특수 목적용 기계 제조업,PCB 자동화 설비
압타바이오,자연과학 및 공학 연구개발업,"용역매출, 유전자전달체, 압타머연구용시약"
형지글로벌,"섬유, 의복, 신발 및 가죽제품 소매업",골프의류 및 골프잡화
마이크로디지탈,의료용 기기 제조업,"바이오 분석 시스템, 메디칼 자동화 시스템"
코퍼스코리아,"영화, 비디오물, 방송프로그램 제작 및 배급업",콘텐츠 배급 및 제작
프로이천,반도체 제조업,반도체검사장치 Probe Card
포스코퓨처엠,일차전지 및 이차전지 제조업,"내화물, 생석회, 음극재 및 양극재"
수젠텍,의료용품 및 기타 의약 관련제품 제조업,체외진단 기기 및 시약
컴퍼니케이,기타 금융업,중소 벤처기업 투자
피에스케이,특수 목적용 기계 제조업,"드라이스트립, 드라이클리닝"
현대무벡스,일반 목적용 기계 제조업,"물류자동화, IT서비스"
TS트릴리온,기타 화학제품 제조업,기업인수합병
이노벡스,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","2차전지활성화공정장비, TAS(지하철터널내영상광고장치), WING TV(회전식 LED바를 이용한 영상광고장치)"
아모그린텍,전자부품 제조업,비정질 및 나노결정립을 이용한 자성부품 및 전류센서
현대오토에버,소프트웨어 개발 및 공급업,"차량SW, 내비게이션, 스마트팩토리, AI·클라우드 기반 솔루션, 디지털 전환 컨설팅 및 IT서비스"
지노믹트리,자연과학 및 공학 연구개발업,암 조기진단 제품
이지케어텍,소프트웨어 개발 및 공급업,의료정보시스템
미래에셋벤처투자,기타 금융업,중소기업 창업투자 관련 고유계정/투자조합 관련 수익
드림텍,전자부품 제조업,"모바일 PBA, 지문인식 모듈, 전장 LED 모듈 등"
더블유게임즈,소프트웨어 개발 및 공급업,모바일게임
에코프로비엠,일차전지 및 이차전지 제조업,양극활물질
셀리드,자연과학 및 공학 연구개발업,항암면역치료백신
우리금융지주,기타 금융업,금융지주
천보,기초 화학물질 제조업,"디스플레이 소재, 반도체 공정 소재, 2차전지 소재, 의약품 소재, 정밀화학 소재"
SCL사이언스,의료용품 및 기타 의약 관련제품 제조업,"의료용지혈제, 밀폐제 및 접착제"
노랑풍선,여행사 및 기타 여행보조 서비스업,"국내외여행 알선, 항공권 판매"
웹케시,소프트웨어 개발 및 공급업,"에스이알피, 브랜치, 인하우스"
엘에이티,특수 목적용 기계 제조업,"In-Line Sputter, OLED 패널 청정물류 이송 장비 등"
에어부산,항공 여객 운송업,항공 여객 및 화물 운송
비피도,기타 식품 제조업,프로바이오틱스 관련 완제품 및 균주 원말 등
유틸렉스,기초 의약물질 제조업,"면역항암 세포치료제, 면역항암 항체치료제"
디케이티,전자부품 제조업,스마트폰용 FPCA
아이엘,전구 및 조명장치 제조업,LED용 실리콘렌즈 외
애니플러스,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송통신사업
디와이씨,자동차 신품 부품 제조업,자동차 부품
위지윅스튜디오,"영화, 비디오물, 방송프로그램 제작 및 배급업","VFX, 뉴미디어 등 특수영상 컨텐츠 제작"
조이웍스앤코,기타 생활용품 소매업,기업인수합병
국전,의약품 제조업,기업 인수 및 합병
에이비엘바이오,기초 의약물질 제조업,항체의약품 연구개발
머큐리,통신 및 방송 장비 제조업,"AP 단말기, 광섬유 및 광케이블, 위성통신 전송장비"
전진바이오팜,기타 화학제품 제조업,"방충방향제, 유해동물피해감소제, 기생충피해감소제"
뉴트리,기타 식품 제조업,"에버콜라겐, 지노마스터 등"
비투엔,소프트웨어 개발 및 공급업,"데이터컨설팅, 품질관리 솔루션"
이노메트리,특수 목적용 기계 제조업,엑스레이검사 장비
DH오토리드,자동차 신품 부품 제조업,자동차 스티어링휠
에코캡,자동차 신품 부품 제조업,"자동차 부품(전선, 케이블, 벌브소켓, LED 등)"
원바이오젠,의료용품 및 기타 의약 관련제품 제조업,"창상피복제, 습윤드레싱제"
윙입푸드,기타 금융업,육가공 제품
남화산업,스포츠 서비스업,골프장 서비스
엠아이텍,의료용 기기 제조업,비혈관 스텐트 및 체외충격파 쇄석기
티로보틱스,특수 목적용 기계 제조업,"중대형 시스템, 중대형 로봇"
다이나믹솔루션,의료용 기기 제조업,라파엘스마트글러브 외
에이펙스인텍,전구 및 조명장치 제조업,LED조명장치 등
티앤알바이오팹,기초 의약물질 제조업,"생분해성 의료기기, 3D 바이오프린팅 시스템, 바이오잉크, 3D 오가노이드, 3D 세포치료제"
아시아나IDT,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","IT 서비스, IT 솔루션"
디알젬,의료용 기기 제조업,"진단용 엑스선 촬영장치 및 부분품, X-ray 제너레이터 외"
싸이토젠,자연과학 및 공학 연구개발업,CTC 기반 Liquid Biopsy 응용사업 및 플랫폼
아주IB투자,기타 금융업,
디케이앤디,플라스틱제품 제조업,합성피혁 및 부직포
프로브잇,부동산 관련 서비스업,스마트 액세서리(보조배터리 등)
노바렉스,기타 식품 제조업,건강기능식품 제조
대보마그네틱,기타 전기장비 제조업,"전자석탈철기, 자력선별기"
노바텍,그외 기타 제품 제조업,"Magnet, Shield Magnet, 심재"
엘앤씨바이오,의약품 제조업,"인체조직(피부, 뼈, 연골)"
지아이에스,특수 목적용 기계 제조업,기업인수합병
로보티즈,특수 목적용 기계 제조업,"솔루션(로봇 엑츄에이터 모듈과 구동 소프트웨어), 에듀테인먼트 로봇, 로봇 플랫폼"
옵티팜,의료용품 및 기타 의약 관련제품 제조업,"옵티케어,메디피그 등"
에스프리즘,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","건물용 연료전지, 발전용 연료전지"
세아제강,1차 철강 제조업,강관
나우IB,기타 금융업,"투자조합, PEF 결성 및 투자"
푸드나무,무점포 소매업,
하나제약,의약품 제조업,완제의약품
크리스에프앤씨,봉제의복 제조업,골프웨어
더블유에스아이,생활용품 도매업,"의약품, 의료기기 도소매"
한국비티비,의료용 기기 제조업,의료기기 및 미용기기
우진아이엔에스,건물설비 설치 공사업,반도체/디스플레이 코팅덕트
엔피,기타 사업지원 서비스업,"브랜드 익스피어리언스, XR 콘텐츠, 메타버스"
피엔티엠에스,특수 목적용 기계 제조업,"2차전지 분리막 제조설비, 디스플레이용 생산설비"
엔솔바이오사이언스,자연과학 및 공학 연구개발업,"퇴행성디스크 치료제, 골관절염 치료제, 동물용 골관절염 치료제"
디지캡,소프트웨어 개발 및 공급업,"보호솔루션, 방송서비스솔루션 등"
지니틱스,반도체 제조업,반도체 IC
액트로,전자부품 제조업,모바일용 액츄에이터 및 조립자동화 설비
오파스넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",네트워크 구축 및 유지보수
브이엠,특수 목적용 기계 제조업,300mm Poly Etch System
바이오솔루션,기초 의약물질 제조업,"세포치료제, 인체조직모델 등"
더콘텐츠온,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화제작, 투자, 배급 및 영화디지털배급"
신한알파리츠,부동산 임대 및 공급업,비거주 부동산 임대 서비스업
디아이티,특수 목적용 기계 제조업,반도체 제조 장비
에스에스알,소프트웨어 개발 및 공급업,"취약점 진단 솔루션, 모의해킹 컨설팅"
한일시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 레미탈"
휴네시온,소프트웨어 개발 및 공급업,망간자료전송(i-oneNet)
트리니티항공,항공 여객 운송업,저가 항공운송
롯데이노베이트,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","SM, SI"
한국유니온제약,의약품 제조업,"항생제, 순환기계, 근골격계, 소화기계류 완제의약품"
그리티,봉제의복 제조업,"내의(원더브라, 플레이텍스, 미싱도로시, 르페)"
알로이스,통신 및 방송 장비 제조업,안드로이드 OTT 멀티미디어 디바이스
올릭스,자연과학 및 공학 연구개발업,siRNA 신약 개발
HS효성첨단소재,화학섬유 제조업,PET타이어코드
테크트랜스,기타 금속 가공제품 제조업,비철금속표면처리장비 및 솔루션
효성중공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",-
효성티앤씨,화학섬유 제조업,"섬유, 산업자재, 화학, 중공업, 건설, 무역,금융 등"
효성화학,기초 화학물질 제조업,-
아이큐어,기타 화학제품 제조업,"플라스타, 의약 및 의약외품 패취등, 마스크팩, 화장품 기초라인"
SV인베스트먼트,기타 금융업,중소/벤처기업 투자 및 육성
엘리비젼,영상 및 음향기기 제조업,"디지털 사이니지, 키오스크 등"
지앤이헬스케어,기타 섬유제품 제조업,면생리대
이리츠코크렙,부동산 임대 및 공급업,부동산투자회사
EDGC,자연과학 및 공학 연구개발업,유전체 분석 진단 서비스
IPARK현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등"
카이노스메드,자연과학 및 공학 연구개발업,기업인수합병
파워넷,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전력변환장치
현대사료,동물용 사료 및 조제식품 제조업,"양계, 양돈 배합사료"
세종메디칼,의료용 기기 제조업,복강경수술용 투관침 등
제노레이,의료용 기기 제조업,의료용 방사선 진단기기
에스제이켐,기초 화학물질 제조업,"수처리응집제, 폴리프로필렌"
JTC,종합 소매업,"식품류, 생활용품류, 화장품류 (사후면세업)"
네오셈,특수 목적용 기계 제조업,반도체 검사장비
케어랩스,광고업,"헬스케어 미디어플랫폼, 헬스케어 디지털마케팅, 헬스케어 솔루션"
애경산업,기타 화학제품 제조업,"Age 20's,루나, 트리오, 2080치약, 순샘, 제트 등"
린드먼아시아,신탁업 및 집합투자업,"투자조합, PEF 결성 및 투자"
오스테오닉,의료용 기기 제조업,골접합 및 재건용 금속소재 및 생체복합재료 기반 임플란트
엔지켐생명과학,기초 의약물질 제조업,"EC-18(신약), 원료의약품"
동구바이오제약,의약품 제조업,"피부, 비뇨기과 완제의약품"
아시아종묘,작물 재배업,종자
알리코제약,의료용품 및 기타 의약 관련제품 제조업,완제 의약품
셀트리온,기초 의약물질 제조업,"램시마, 트룩시마, 허쥬마"
카페24,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","쇼핑몰솔루션, 광고솔루션, 호스팅솔루션"
링크제니시스,소프트웨어 개발 및 공급업,"반도체, 디스플레이, 자동화 S/W 및 시스템 테스트 자동화 솔루션 개발(XCOMPRO, XGEM, MAT)"
배럴,봉제의복 제조업,래쉬가드 및 워터스포츠 등
SG,기타 비금속 광물제품 제조업,아스콘
씨앤지하이테크,특수 목적용 기계 제조업,"약액혼합공급장치, 화학약품재생장치"
쿠쿠홈시스,개인 및 가정용품 임대업,"정수기, 공기청정기 등"
SK케미칼,합성고무 및 플라스틱 물질 제조업,"PETG 수지, PET 수지, 바이오디젤, 백신"
시스웍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","클린룸 제어시스템, BLDC모터, 공조장치 제어기 등"
디바이스,특수 목적용 기계 제조업,OLED용 FM MASK 세정장비
씨알푸드,"곡물가공품, 전분 및 전분제품 제조업","시리얼, 시리얼바"
레이크머티리얼즈,기타 화학제품 제조업,"LED, 반도체 소재 및 석유화학촉매"
BGF리테일,종합 소매업,체인화 편의점
DYP,자동차용 엔진 및 자동차 제조업,자동차엔진용 피스톤
진에어,항공 여객 운송업,"여객, 화물 등 항공운송"
씨티케이,기타 화학제품 제조업,완제 화장품 (색조 및 기초)
메카로,반도체 제조업,반도체용 전구체 및 히터블록
에스트래픽,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","교통관련 솔루션 개발, 시스템통합 S/W 개발"
케이씨텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체, 디스플레이 제조 장비"
체리부로,"도축, 육류 가공 및 저장 처리업","육계, 사료"
대원,건물 건설업,아파트 시행 및 시공
삼양패키징,플라스틱제품 제조업,PET 용기 및 아셉틱 OEM
스튜디오드래곤,"영화, 비디오물, 방송프로그램 제작 및 배급업","드라마 제작, 판매"
코오롱티슈진,기초 의약물질 제조업,골관절염 치료제
EMB,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","태양광ESS,휴대폰 액세서리"
테이팩스,플라스틱제품 제조업,"OCA, 2차전지용 테이프, 산업용 랩 등"
롯데웰푸드,기타 식품 제조업,"껌,캔디,초코,비스켓,빙과"
탑선,기타 전기장비 제조업,태양광 모듈
영화테크,자동차 신품 부품 제조업,자동차 정션박스 등
폴라리스세원,자동차 신품 부품 제조업,자동차 공조장치 부품
상신전자,전자부품 제조업,"노이즈필터(48.81%), 코일(19.33%), 리액터(10.75%)"
야스,특수 목적용 기계 제조업,"OLED 증착기, OLED 증착원"
인산가,기타 식품 제조업,죽염 및 죽염응용식품
휴엠앤씨,그외 기타 제품 제조업,"유리용기, 화장용 스펀지, 퍼프"
신흥에스이씨,일차전지 및 이차전지 제조업,"2차전지용 안전 부품(Cap Assembly, CID)"
유티아이,전자부품 제조업,카메라 윈도우
선익시스템,특수 목적용 기계 제조업,OLED 증착장비
엠플러스,특수 목적용 기계 제조업,이차전지 자동화 조립설비
앱클론,의료용품 및 기타 의약 관련제품 제조업,항체의약품
펄어비스,소프트웨어 개발 및 공급업,게임 개발 서비스(검은사막 및 붉은사막)
킵스파마,의약품 제조업,OLED 마스크 인장기
SK시그넷,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기차 충전기
덕우전자,전자부품 제조업,카메라 모듈 부품
앱튼,"건축기술, 엔지니어링 및 관련 기술 서비스업",지열냉난방시스템
케일럼,"구조용 금속제품, 탱크 및 증기발생기 제조업","지열발전설비, 항공기MRO, 항공부품제조"
알에스오토메이션,전자부품 제조업,"모션제어기, 드라이브, 에너지제어장치"
컬러레이,기타 금융업,화장품용 진주광택안료
